LatWRONGFORMAT,Lat,LongWRONGFORMAT,Long,Elevation (mASL),Habitat,Species
30û30'07.5,-30.50208, 152û23'8.1,152.3856,1349,Montane Sclerophyll Forest,Tasmannia stipitata
30û30'06.1,-30.50169, 152û23'7.5,152.3854,1349,Montane Sclerophyll Forest,Leptospermum A- Leptospermum polygalifolium subsp montanum
30û30'06.1,-30.50169, 152û23'7.5,152.3854,1349,Montane Sclerophyll Forest,Leptospermum B- Leptospermum gregarium
30û30'04.7,-30.50131, 152û23'9.2,152.3859,1349,Montane Sclerophyll Forest,Eucalyptus pauciflora
30û30'04.7,-30.50131, 152û23'9.2,152.3859,1349,Montane Sclerophyll Forest,Eucalyptus dalrympleana
30û21'56.8,-30.36578, 152û43'49.6,152.7304,773-757,Subtropical Rainforest,Linospadix monostachya
30û21'56.8,-30.36578, 152û43'49.6,152.7304,773-757,Subtropical Rainforest,Syzygium crebrinerve
30û21'56.8,-30.36578, 152û43'49.6,152.7304,773-757,Subtropical Rainforest,Cissus hypoglauca
30û21'56.8,-30.36578, 152û43'49.6,152.7304,773-757,Subtropical Rainforest,Acronychia oblongifolia
30û21'56.8,-30.36578, 152û43'49.6,152.7304,773-757,Subtropical Rainforest,Acradenia euodiiformis 
30û21'56.8,-30.36578, 152û43'49.6,152.7304,773-757,Subtropical Rainforest,Cryptocarya microneura
29û28'18.6,-29.47183, 152û51'40.0,152.8611,773-757,Heath,Banksia oblongifolia
29û28'18.6,-29.47183, 152û51'40.0,152.8611,773-757,Heath,Banksia aemula
29û28'18.6,-29.47183, 152û51'40.0,152.8611,773-757,Heath,Hakea dactyloides
29û28'18.6,-29.47183, 152û51'40.0,152.8611,773-757,Heath,Petrophile pulchella
29û48'24.35,-29.80676, 152û46'40.11,152.7778,187,Dry Sclerophyll Forest,Leptospermum arachnoides
28¡ 53' 55.7,-28.89881, 152¡ 44' 26.3,152.7406,187,Subtropical Rainforest,Croton insularis
28¡ 53' 55.7,-28.89881, 152¡ 44' 26.3,152.7406,187,Subtropical Rainforest,Alchornea ilicifolia
28¡ 53' 55.7,-28.89881, 152¡ 44' 26.3,152.7406,187,Subtropical Rainforest,Myrsine howittiana
28¡ 53' 55.7,-28.89881, 152¡ 44' 26.3,152.7406,187,Subtropical Rainforest,Cissus hypoglauca
28¡ 53' 55.7,-28.89881, 152¡ 44' 26.3,152.7406,187,Subtropical Rainforest,Austrosteenisia blackii
28¡ 22' 57.81,-28.38273, 153¡ 03' 38.42,153.0607,187,Subtropical Rainforest,Cupaniopsis flagelliformis
28¡ 22' 57.81,-28.38273, 153¡ 03' 38.42,153.0607,187,Subtropical Rainforest,Cissus hypoglauca
28¡ 22' 57.81,-28.38273, 153¡ 03' 38.42,153.0607,187,Subtropical Rainforest,Syzygium oleosum
28¡ 22' 57.81,-28.38273, 153¡ 03' 38.42,153.0607,187,Subtropical Rainforest,Homalanthus populifolius
28¡ 22' 57.81,-28.38273, 153¡ 03' 38.42,153.0607,187,Subtropical Rainforest,Solanum aviculare
28¡ 22' 57.81,-28.38273, 153¡ 03' 38.42,153.0607,187,Subtropical Rainforest,Ehretia acuminata
28¡ 22' 57.81,-28.38273, 153¡ 03' 38.42,153.0607,187,Subtropical Rainforest,Linospadix monostachya
28¡ 31' 14.5,-28.52069, 152¡ 44' 52.3,152.7479,187,Wet Sclerophyll Forest,Glochidion ferdinandi
28¡ 31' 14.5,-28.52069, 152¡ 44' 52.3,152.7479,187,Wet Sclerophyll Forest,Breynia oblongifolia
28¡ 31' 14.5,-28.52069, 152¡ 44' 52.3,152.7479,187,Wet Sclerophyll Forest,Cissus antarctica
28¡ 31' 14.5,-28.52069, 152¡ 44' 52.3,152.7479,187,Wet Sclerophyll Forest,Syzygium australe
28¡ 31' 14.5,-28.52069, 152¡ 44' 52.3,152.7479,187,Wet Sclerophyll Forest,Cordyline petiolaris
28¡ 31' 14.5,-28.52069, 152¡ 44' 52.3,152.7479,187,Wet Sclerophyll Forest,Geitonoplesium cymosum
28¡ 51' 9.6,-28.85267, 152¡ 02' 24.4,152.0401,187,Heath,Kunzea ericoides
28¡ 51' 9.6,-28.85267, 152¡ 02' 24.4,152.0401,187,Heath,Isotoma anethifolia
