Species,Site,PP.Sensitivity ,SE,Family,Growth.Form,Seed.Mass.Gram,Seed.Mass.Mg,Latitude,Longitude,LAI,Day.Official,PP.Sensitivity.Sign
Acacia leptoloba,Q.L.D.W,1.12E-16,1.248255,Fabaceae,Shrub,0.043222,43.222,17.3913,145.3758,1.366652966,DN,-1.12E-16
Acacia ulicifolia,R.N.P,1.384843,1.086636,Fabaceae,Shrub,0.010886,10.886,34.1138,151.0664,3.366632938,DN,1.384843
Acaena Species A,K.N.P.A,0.9398628,0.3459694,Rosaceae,Herb,0.001486,1.486,36.4376,148.3198,2.133311987,DN,-0.9398628
Acronychia crassipetala,Q.L.D,1.330638,0.9338657,Rutaceae ,Tree,0.008958,8.958,17.464,145.4787,5.233281136,LD,1.330638
Acronychia oblongifolia,D.N.P,2.524597,1.162491,Rutaceae ,Tree,0.008243,8.243,30.3658,152.7304,4.433289051,SD,-2.524597
Allocasuarina littoralis,C.W,0.5507147,0.3097791,Casuarinaceae,Tree,0.002356,2.356,34.0954,151.1601,1.366652966,SD,-0.5507147
Alpinia arctiflora,Q.L.D,1.008678,0.4910962,Zingiberaceae,Shrub,0.011996,11.996,17.4583,145.4697,5.333280087,SD,-1.008678
Alpinia caerulea,Q.L.D.S,1.625032,0.9845588,Zingiberaceae,Herb,0.019724,19.724,17.4583,145.4697,5.333280087,LD,1.625032
Banksia aemula,R.C,0.8770655,0.9517373,Proteaceae,Tree,0.101962,101.962,29.4718,152.8611,2.499974966,DN,0.8770655
Banksia oblongifolia,R.C,1.409736,1.095104,Proteaceae,Shrub,0.027793,27.793,29.4718,152.8611,2.499974966,DN,-1.409736
Banksia serrata,C.W,2.039584,1.175631,Proteaceae,Tree,0.074512,74.512,34.0954,151.1601,1.366652966,LD,2.039584
Breynia cernua,Q.L.D,3.18396,1.233463,Phyllanthaceae,Shrub,0.013034,13.034,17.4123,145.7006,5.366612911,SD,-3.18396
Bursaria spinosa,A.B.G,0.8069933,0.2929321,Pittosporaceae ,Shrub,0.001152,1.152,34.0659,150.7691,1.466652036,LD,0.8069933
Callistemon sieberi,K.N.P,0.8459643,0.3380353,Myrtaceae,Shrub,0.000036,0.036,36.3513,148.5181,2.233310938,SD,-0.8459643
Celmisia longifolia,K.N.P.A,0.1519736,0.2988416,Asteraceae,Herb,0.003198,3.198,36.4377,148.3198,2.133311987,DN,0.1519736
Chamaecrista concinna,Q.L.D.W,1.419789,0.4163216,Caesalpiniaceae,Herb,0.002306,2.306,17.3913,145.3758,1.366652966,LD,1.419789
Chionochloa frigida ,K.N.P.A,0.5608924,0.3964864,Poaceae,Herb,0.000981,0.981,36.4378,148.3197,2.133311987,DN,-0.5608924
Coronidium boormanii,B.Rock,0.1167259,0.2598503,Asteraceae,Herb,0.000532,0.532,28.8527,152.0401,1.533318043,DN,0.1167259
Coronidium scorpiodes,K.N.P.A,0.593982,0.3290054,Asteraceae,Herb,0.000136,0.136,36.4377,148.3198,2.133311987,LD,0.593982
Croton insularis,M.N.P,0.2591098,0.3808003,Euphorbiaceae ,Tree,0.010638,10.638,28.8988,152.7406,4.999949932,DN,-0.2591098
Cupaniopsis flagelliformis,B.R.N.P,2.151999,1.181707,Sapindaceae,Tree,1.116663,1116.663,28.3827,153.0607,4.999949932,LD,2.151999
Einadia nutans,A.B.G,1.732758,0.5994302,Chenopodiaceae,Herb,0.0007,0.7,34.0659,150.7691,1.466652036,LD,1.732758
Eucalyptus cloeziana,Q.L.D.W,0.5317619,0.4368706,Myrtaceae,Tree,0.001422,1.422,17.382,145.2577,1.299986959,LD,0.5317619
Eucalyptus dalrympleana,T.S,1.048723,0.90879,Myrtaceae,Tree,0.0002,0.2,30.5013,152.3859,4.133292198,DN,1.048723
Eucalyptus ebbaneoensis subsp. Ebbanoensis,A.B.G,1.466441,0.9618932,Myrtaceae,Tree,0.001644,1.644,34.0659,150.7691,1.466652036,SD,-1.466441
Eucalyptus lockyeri,Q.L.D.W,0.3751945,0.299005,Myrtaceae,Tree,0.000314,0.314,17.383,145.3787,1.49998498,SD,-0.3751945
Eucalyptus pauciflora,T.S,1.237712,0.4611106,Myrtaceae,Tree,0.00118,1.18,30.5013,152.3859,4.133292198,SD,-1.237712
Eucalyptus shirleyi,Q.L.D.W,0.4171072,0.4972524,Myrtaceae,Tree,0.000795,0.795,17.383,145.3787,1.49998498,DN,-0.4171072
Eucalyptus websteriana subsp. norsemanica,A.B.G,0.3750898,0.5300746,Myrtaceae,Tree,0.000496,0.496,34.0659,150.7691,1.466652036,DN,0.3750898
Ficus benjamina,Q.L.D,0.3214738,0.2849075,Moraceae,Tree,0.000184,0.184,17.3378,145.5811,4.499955177,LD,0.3214738
Glochidion ferdinandi,T.N.P,0.6052665,0.6149804,Phyllanthaceae,Tree,0.018294,18.294,28.5207,152.7479,5.499945164,DN,-0.6052665
Hakea dactyloides.R,R.N.P,1.084772,0.6053713,Proteaceae,Shrub,0.027504,27.504,34.1138,151.0664,3.366632938,LD,1.084772
