Species,Site,Treatment.Numeric,Treatment,Petri.Dish,Seed.No,No.Germinated 
Acacia leptoloba,Q.L.D.W,12L/12D,Control,1,1,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,1,2,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,1,3,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,1,4,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,1,5,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,1,6,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,1,7,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,1,8,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,1,9,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,1,10,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,2,11,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,2,12,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,2,13,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,2,14,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,2,15,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,2,16,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,2,17,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,2,18,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,2,19,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,2,20,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,3,21,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,3,22,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,3,23,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,3,24,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,3,25,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,3,26,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,3,27,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,3,28,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,3,29,1
Acacia leptoloba,Q.L.D.W,12L/12D,Control,3,30,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,1,1,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,1,2,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,1,3,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,1,4,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,1,5,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,1,6,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,1,7,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,1,8,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,1,9,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,1,10,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,2,11,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,2,12,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,2,13,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,2,14,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,2,15,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,2,16,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,2,17,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,2,18,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,2,19,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,2,20,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,3,21,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,3,22,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,3,23,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,3,24,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,3,25,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,3,26,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,3,27,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,3,28,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,3,29,1
Acacia leptoloba,Q.L.D.W,18L/6D,Long,3,30,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,1,1,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,1,2,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,1,3,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,1,4,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,1,5,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,1,6,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,1,7,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,1,8,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,1,9,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,1,10,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,2,11,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,2,12,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,2,13,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,2,14,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,2,15,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,2,16,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,2,17,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,2,18,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,2,19,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,2,20,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,3,21,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,3,22,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,3,23,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,3,24,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,3,25,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,3,26,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,3,27,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,3,28,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,3,29,1
Acacia leptoloba,Q.L.D.W,6L/18D,Short,3,30,1
Acacia ulicifolia,R.N.P,12L/12D,Control,1,1,1
Acacia ulicifolia,R.N.P,12L/12D,Control,1,2,1
Acacia ulicifolia,R.N.P,12L/12D,Control,1,3,1
Acacia ulicifolia,R.N.P,12L/12D,Control,1,4,1
Acacia ulicifolia,R.N.P,12L/12D,Control,1,5,1
Acacia ulicifolia,R.N.P,12L/12D,Control,1,6,1
Acacia ulicifolia,R.N.P,12L/12D,Control,1,7,1
Acacia ulicifolia,R.N.P,12L/12D,Control,1,8,1
Acacia ulicifolia,R.N.P,12L/12D,Control,1,9,1
Acacia ulicifolia,R.N.P,12L/12D,Control,1,10,1
Acacia ulicifolia,R.N.P,12L/12D,Control,1,11,1
Acacia ulicifolia,R.N.P,12L/12D,Control,1,12,1
Acacia ulicifolia,R.N.P,12L/12D,Control,1,13,1
Acacia ulicifolia,R.N.P,12L/12D,Control,1,14,1
Acacia ulicifolia,R.N.P,12L/12D,Control,1,15,1
Acacia ulicifolia,R.N.P,12L/12D,Control,2,16,1
Acacia ulicifolia,R.N.P,12L/12D,Control,2,17,1
Acacia ulicifolia,R.N.P,12L/12D,Control,2,18,1
Acacia ulicifolia,R.N.P,12L/12D,Control,2,19,1
Acacia ulicifolia,R.N.P,12L/12D,Control,2,20,1
Acacia ulicifolia,R.N.P,12L/12D,Control,2,21,1
Acacia ulicifolia,R.N.P,12L/12D,Control,2,22,1
Acacia ulicifolia,R.N.P,12L/12D,Control,2,23,1
Acacia ulicifolia,R.N.P,12L/12D,Control,2,24,1
Acacia ulicifolia,R.N.P,12L/12D,Control,2,25,1
Acacia ulicifolia,R.N.P,12L/12D,Control,2,26,1
Acacia ulicifolia,R.N.P,12L/12D,Control,2,27,1
Acacia ulicifolia,R.N.P,12L/12D,Control,2,28,1
Acacia ulicifolia,R.N.P,12L/12D,Control,2,29,1
Acacia ulicifolia,R.N.P,12L/12D,Control,2,30,1
Acacia ulicifolia,R.N.P,18L/6D,Long,1,1,1
Acacia ulicifolia,R.N.P,18L/6D,Long,1,2,1
Acacia ulicifolia,R.N.P,18L/6D,Long,1,3,1
Acacia ulicifolia,R.N.P,18L/6D,Long,1,4,1
Acacia ulicifolia,R.N.P,18L/6D,Long,1,5,1
Acacia ulicifolia,R.N.P,18L/6D,Long,1,6,1
Acacia ulicifolia,R.N.P,18L/6D,Long,1,7,1
Acacia ulicifolia,R.N.P,18L/6D,Long,1,8,1
Acacia ulicifolia,R.N.P,18L/6D,Long,1,9,1
Acacia ulicifolia,R.N.P,18L/6D,Long,1,10,1
Acacia ulicifolia,R.N.P,18L/6D,Long,1,11,1
Acacia ulicifolia,R.N.P,18L/6D,Long,1,12,1
Acacia ulicifolia,R.N.P,18L/6D,Long,1,13,1
Acacia ulicifolia,R.N.P,18L/6D,Long,1,14,1
Acacia ulicifolia,R.N.P,18L/6D,Long,1,15,1
Acacia ulicifolia,R.N.P,18L/6D,Long,2,16,1
Acacia ulicifolia,R.N.P,18L/6D,Long,2,17,1
Acacia ulicifolia,R.N.P,18L/6D,Long,2,18,1
Acacia ulicifolia,R.N.P,18L/6D,Long,2,19,1
Acacia ulicifolia,R.N.P,18L/6D,Long,2,20,1
Acacia ulicifolia,R.N.P,18L/6D,Long,2,21,1
Acacia ulicifolia,R.N.P,18L/6D,Long,2,22,1
Acacia ulicifolia,R.N.P,18L/6D,Long,2,23,1
Acacia ulicifolia,R.N.P,18L/6D,Long,2,24,1
Acacia ulicifolia,R.N.P,18L/6D,Long,2,25,1
Acacia ulicifolia,R.N.P,18L/6D,Long,2,26,1
Acacia ulicifolia,R.N.P,18L/6D,Long,2,27,1
Acacia ulicifolia,R.N.P,18L/6D,Long,2,28,1
Acacia ulicifolia,R.N.P,18L/6D,Long,2,29,1
Acacia ulicifolia,R.N.P,18L/6D,Long,2,30,0
Acacia ulicifolia,R.N.P,6L/18D,Short,1,1,1
Acacia ulicifolia,R.N.P,6L/18D,Short,1,2,1
Acacia ulicifolia,R.N.P,6L/18D,Short,1,3,1
Acacia ulicifolia,R.N.P,6L/18D,Short,1,4,1
Acacia ulicifolia,R.N.P,6L/18D,Short,1,5,1
Acacia ulicifolia,R.N.P,6L/18D,Short,1,6,1
Acacia ulicifolia,R.N.P,6L/18D,Short,1,7,1
Acacia ulicifolia,R.N.P,6L/18D,Short,1,8,1
Acacia ulicifolia,R.N.P,6L/18D,Short,1,9,1
Acacia ulicifolia,R.N.P,6L/18D,Short,1,10,1
Acacia ulicifolia,R.N.P,6L/18D,Short,1,11,1
Acacia ulicifolia,R.N.P,6L/18D,Short,1,12,1
Acacia ulicifolia,R.N.P,6L/18D,Short,1,13,1
Acacia ulicifolia,R.N.P,6L/18D,Short,1,14,1
Acacia ulicifolia,R.N.P,6L/18D,Short,1,15,1
Acacia ulicifolia,R.N.P,6L/18D,Short,2,16,1
Acacia ulicifolia,R.N.P,6L/18D,Short,2,17,1
Acacia ulicifolia,R.N.P,6L/18D,Short,2,18,1
Acacia ulicifolia,R.N.P,6L/18D,Short,2,19,1
Acacia ulicifolia,R.N.P,6L/18D,Short,2,20,1
Acacia ulicifolia,R.N.P,6L/18D,Short,2,21,1
Acacia ulicifolia,R.N.P,6L/18D,Short,2,22,1
Acacia ulicifolia,R.N.P,6L/18D,Short,2,23,1
Acacia ulicifolia,R.N.P,6L/18D,Short,2,24,1
Acacia ulicifolia,R.N.P,6L/18D,Short,2,25,1
Acacia ulicifolia,R.N.P,6L/18D,Short,2,26,1
Acacia ulicifolia,R.N.P,6L/18D,Short,2,27,1
Acacia ulicifolia,R.N.P,6L/18D,Short,2,28,1
Acacia ulicifolia,R.N.P,6L/18D,Short,2,29,1
Acacia ulicifolia,R.N.P,6L/18D,Short,2,30,1
Acaena Species A,K.N.P.A,12L/12D,Control,1,1,1
Acaena Species A,K.N.P.A,12L/12D,Control,1,2,1
Acaena Species A,K.N.P.A,12L/12D,Control,1,3,1
Acaena Species A,K.N.P.A,12L/12D,Control,1,4,1
Acaena Species A,K.N.P.A,12L/12D,Control,1,5,1
Acaena Species A,K.N.P.A,12L/12D,Control,1,6,1
Acaena Species A,K.N.P.A,12L/12D,Control,1,7,1
Acaena Species A,K.N.P.A,12L/12D,Control,1,8,1
Acaena Species A,K.N.P.A,12L/12D,Control,1,9,1
Acaena Species A,K.N.P.A,12L/12D,Control,1,10,1
Acaena Species A,K.N.P.A,12L/12D,Control,1,11,1
Acaena Species A,K.N.P.A,12L/12D,Control,1,12,1
Acaena Species A,K.N.P.A,12L/12D,Control,1,13,1
Acaena Species A,K.N.P.A,12L/12D,Control,1,14,0
Acaena Species A,K.N.P.A,12L/12D,Control,1,15,0
Acaena Species A,K.N.P.A,12L/12D,Control,1,16,0
Acaena Species A,K.N.P.A,12L/12D,Control,1,17,0
Acaena Species A,K.N.P.A,12L/12D,Control,1,18,0
Acaena Species A,K.N.P.A,12L/12D,Control,1,19,0
Acaena Species A,K.N.P.A,12L/12D,Control,1,20,0
Acaena Species A,K.N.P.A,12L/12D,Control,1,21,0
Acaena Species A,K.N.P.A,12L/12D,Control,1,22,0
Acaena Species A,K.N.P.A,12L/12D,Control,1,23,0
Acaena Species A,K.N.P.A,12L/12D,Control,1,24,0
Acaena Species A,K.N.P.A,12L/12D,Control,1,25,0
Acaena Species A,K.N.P.A,12L/12D,Control,1,26,0
Acaena Species A,K.N.P.A,12L/12D,Control,1,27,0
Acaena Species A,K.N.P.A,12L/12D,Control,1,28,0
Acaena Species A,K.N.P.A,12L/12D,Control,1,29,0
Acaena Species A,K.N.P.A,12L/12D,Control,1,30,0
Acaena Species A,K.N.P.A,18L/6D,Long,1,1,1
Acaena Species A,K.N.P.A,18L/6D,Long,1,2,1
Acaena Species A,K.N.P.A,18L/6D,Long,1,3,1
Acaena Species A,K.N.P.A,18L/6D,Long,1,4,1
Acaena Species A,K.N.P.A,18L/6D,Long,1,5,1
Acaena Species A,K.N.P.A,18L/6D,Long,1,6,1
Acaena Species A,K.N.P.A,18L/6D,Long,1,7,1
Acaena Species A,K.N.P.A,18L/6D,Long,1,8,1
Acaena Species A,K.N.P.A,18L/6D,Long,1,9,1
Acaena Species A,K.N.P.A,18L/6D,Long,1,10,1
Acaena Species A,K.N.P.A,18L/6D,Long,1,11,1
Acaena Species A,K.N.P.A,18L/6D,Long,1,12,1
Acaena Species A,K.N.P.A,18L/6D,Long,1,13,1
Acaena Species A,K.N.P.A,18L/6D,Long,1,14,1
Acaena Species A,K.N.P.A,18L/6D,Long,1,15,1
Acaena Species A,K.N.P.A,18L/6D,Long,1,16,1
Acaena Species A,K.N.P.A,18L/6D,Long,1,17,1
Acaena Species A,K.N.P.A,18L/6D,Long,1,18,1
Acaena Species A,K.N.P.A,18L/6D,Long,1,19,1
Acaena Species A,K.N.P.A,18L/6D,Long,1,20,1
Acaena Species A,K.N.P.A,18L/6D,Long,1,21,1
Acaena Species A,K.N.P.A,18L/6D,Long,1,22,1
Acaena Species A,K.N.P.A,18L/6D,Long,1,23,0
Acaena Species A,K.N.P.A,18L/6D,Long,1,24,0
Acaena Species A,K.N.P.A,18L/6D,Long,1,25,0
Acaena Species A,K.N.P.A,18L/6D,Long,1,26,0
Acaena Species A,K.N.P.A,18L/6D,Long,1,27,0
Acaena Species A,K.N.P.A,18L/6D,Long,1,28,0
Acaena Species A,K.N.P.A,18L/6D,Long,1,29,0
Acaena Species A,K.N.P.A,18L/6D,Long,1,30,0
Acaena Species A,K.N.P.A,6L/18D,Short,1,1,1
Acaena Species A,K.N.P.A,6L/18D,Short,1,2,1
Acaena Species A,K.N.P.A,6L/18D,Short,1,3,1
Acaena Species A,K.N.P.A,6L/18D,Short,1,4,1
Acaena Species A,K.N.P.A,6L/18D,Short,1,5,1
Acaena Species A,K.N.P.A,6L/18D,Short,1,6,1
Acaena Species A,K.N.P.A,6L/18D,Short,1,7,1
Acaena Species A,K.N.P.A,6L/18D,Short,1,8,1
Acaena Species A,K.N.P.A,6L/18D,Short,1,9,1
Acaena Species A,K.N.P.A,6L/18D,Short,1,10,1
Acaena Species A,K.N.P.A,6L/18D,Short,1,11,1
Acaena Species A,K.N.P.A,6L/18D,Short,1,12,1
Acaena Species A,K.N.P.A,6L/18D,Short,1,13,1
Acaena Species A,K.N.P.A,6L/18D,Short,1,14,1
Acaena Species A,K.N.P.A,6L/18D,Short,1,15,1
Acaena Species A,K.N.P.A,6L/18D,Short,1,16,1
Acaena Species A,K.N.P.A,6L/18D,Short,1,17,1
Acaena Species A,K.N.P.A,6L/18D,Short,1,18,1
Acaena Species A,K.N.P.A,6L/18D,Short,1,19,1
Acaena Species A,K.N.P.A,6L/18D,Short,1,20,1
Acaena Species A,K.N.P.A,6L/18D,Short,1,21,1
Acaena Species A,K.N.P.A,6L/18D,Short,1,22,1
Acaena Species A,K.N.P.A,6L/18D,Short,1,23,0
Acaena Species A,K.N.P.A,6L/18D,Short,1,24,0
Acaena Species A,K.N.P.A,6L/18D,Short,1,25,0
Acaena Species A,K.N.P.A,6L/18D,Short,1,26,0
Acaena Species A,K.N.P.A,6L/18D,Short,1,27,0
Acaena Species A,K.N.P.A,6L/18D,Short,1,28,0
Acaena Species A,K.N.P.A,6L/18D,Short,1,29,0
Acaena Species A,K.N.P.A,6L/18D,Short,1,30,0
Aciphylla glacialis,K.N.P.A,12L/12D,Control,1,1,0
Aciphylla glacialis,K.N.P.A,12L/12D,Control,1,2,0
Aciphylla glacialis,K.N.P.A,12L/12D,Control,1,3,0
Aciphylla glacialis,K.N.P.A,12L/12D,Control,1,4,0
Aciphylla glacialis,K.N.P.A,12L/12D,Control,1,5,0
Aciphylla glacialis,K.N.P.A,12L/12D,Control,1,6,0
Aciphylla glacialis,K.N.P.A,12L/12D,Control,1,7,0
Aciphylla glacialis,K.N.P.A,12L/12D,Control,1,8,0
Aciphylla glacialis,K.N.P.A,12L/12D,Control,1,9,0
Aciphylla glacialis,K.N.P.A,12L/12D,Control,1,10,0
Aciphylla glacialis,K.N.P.A,12L/12D,Control,2,11,0
Aciphylla glacialis,K.N.P.A,12L/12D,Control,2,12,0
Aciphylla glacialis,K.N.P.A,12L/12D,Control,2,13,0
Aciphylla glacialis,K.N.P.A,12L/12D,Control,2,14,0
Aciphylla glacialis,K.N.P.A,12L/12D,Control,2,15,0
Aciphylla glacialis,K.N.P.A,12L/12D,Control,2,16,0
Aciphylla glacialis,K.N.P.A,12L/12D,Control,2,17,0
Aciphylla glacialis,K.N.P.A,12L/12D,Control,2,18,0
Aciphylla glacialis,K.N.P.A,12L/12D,Control,2,19,0
