,species,genus,family,Sensitivity,SE_sensitivity,p_value_Treatment,Control...Long,Control...Short,Long...Short,p_value_Treatment_adjusted,Significance,,
1,Acacia leptoloba,Acacia,Fabaceae,1.12E-16,1.230744259,0.99933387,-3.10E-17,-1.50E-16,-1.19E-16,1,1,,
2,Acacia ulicifolia,Acacia,Fabaceae,1.384842894,1.095475671,0.463629013,1.412449532,-0.468689913,-1.881139445,1,1,,
3,Acaena Species A,Acaena,Rosaceae,0.939862761,0.329657041,0.022717329,-1.151092097,-1.151092097,6.66E-16,1,2,,
4,Acronychia crassipetala,Acronychia,Rutaceae,1.330638249,0.898381043,0.320328962,0.423443289,1.799619331,1.376176042,1,1,,
5,Acronychia oblongifolia,Acronychia,Rutaceae,2.524597064,1.157555231,0.008098319,3.297331927,0.462880517,-2.83445141,0.615472251,2,,
6,Acrothamnus hookeri,Acrothamnus,Ericaceae,0.819749673,0.915273247,0.577286278,1.003984207,1.003984207,-9.55E-15,1,1,,
7,Alchornea ilicifolia,Alchornea,Euphorbiaceae,1.384842894,1.10274298,0.463629013,0.468689913,-1.412449532,-1.881139445,1,1,,
8,Allocasuarina littoralis,Allocasuarina,Casuarinaceae,0.550714746,0.309510346,0.281756106,-0.220414728,-0.757117797,-0.536703068,1,1,,
9,Alphitonia petrei,Alphitonia,Rhamnaceae,0.824032375,0.924793318,0.575666826,1.009229425,1.009229425,-9.55E-15,1,1,,
10,Alpinia arctiflora,Alpinia,Zingiberaceae,1.008678096,0.491451198,0.114332475,0.865385615,-0.549385628,-1.414771243,1,1,,
11,Alpinia caerulea,Alpinia,Zingiberaceae,1.625032374,0.975022568,0.160354698,0.246283875,2.101930332,1.855646458,1,1,,
12,Austrosteenisia blackii,Austrosteenisia,Fabaceae,1.921411887,1.102015761,0.158884702,-0.545643472,2.032485263,2.578128736,1,1,,
13,Banksia aemula,Banksia,Proteaceae,0.877065489,0.961497067,0.554018116,-1.07418146,-1.07418146,2.22E-16,1,1,,
14,Banksia oblongifolia,Banksia,Proteaceae,1.409736423,1.093800166,0.457823166,1.43880575,-0.475759744,-1.914565494,1,1,,
15,Banksia serrata,Banksia,Proteaceae,2.039584105,1.149150548,0.142225295,-0.560815601,2.169892054,2.730707655,1,1,,
16,Breynia cernua,Breynia,Phyllanthaceae,3.183960348,1.252337528,0.000364365,0.569162961,-3.583679806,-4.152842768,0.029149162,2,,
17,Breynia oblongifolia,Breynia,Phyllanthaceae,2.057390636,1.189269501,0.139782596,-2.190934187,0.562585948,2.753520135,1,1,,
18,Bursaria spinosa,Bursaria,Pittosporaceae,0.806993325,0.291989621,0.021606081,0.36758725,1.119484305,0.751897055,1,2,,
